Service, Operation, UsageType, Resource, StartTime, EndTime, UsageValue
AmazonRDS,CreateDBInstance:0002,USW2-InstanceUsage:db.t2.micro,,08/06/16 19:00:00,08/06/16 20:00:00,1
AmazonRDS,Not Applicable,USW2-C3DataTransfer-Out-Bytes,,08/06/16 19:00:00,08/06/16 20:00:00,5346279
AmazonRDS,Not Applicable,USW2-C3DataTransfer-In-Bytes,,08/06/16 19:00:00,08/06/16 20:00:00,464742
AmazonRDS,Not Applicable,USW2-USE1-AWS-Out-Bytes,,08/06/16 19:00:00,08/06/16 20:00:00,228
AmazonRDS,CreateDBInstance,USW2-RDS:StorageUsage,,08/06/16 19:00:00,08/06/16 20:00:00,107374182400
AmazonRDS,Not Applicable,USW2-USE1-AWS-In-Bytes,,08/06/16 19:00:00,08/06/16 20:00:00,228
AmazonRDS,Not Applicable,USW2-RDS:StorageIOUsage,,08/06/16 19:00:00,08/06/16 20:00:00,2027
AmazonRDS,Not Applicable,USW2-DataTransfer-In-Bytes,,08/06/16 19:00:00,08/06/16 20:00:00,836
AmazonRDS,Not Applicable,USW2-C3DataTransfer-In-Bytes,,08/06/16 20:00:00,08/06/16 21:00:00,452974
AmazonRDS,Not Applicable,USW2-USE1-AWS-In-Bytes,,08/06/16 20:00:00,08/06/16 21:00:00,228
AmazonRDS,Not Applicable,USW2-DataTransfer-Out-Bytes,,08/06/16 20:00:00,08/06/16 21:00:00,760
AmazonRDS,CreateDBInstance:0002,USW2-InstanceUsage:db.t2.micro,,08/06/16 20:00:00,08/06/16 21:00:00,1
AmazonRDS,Not Applicable,USW2-DataTransfer-In-Bytes,,08/06/16 20:00:00,08/06/16 21:00:00,760
AmazonRDS,Not Applicable,USW2-USE1-AWS-Out-Bytes,,08/06/16 20:00:00,08/06/16 21:00:00,228
AmazonRDS,Not Applicable,USW2-RDS:StorageIOUsage,,08/06/16 20:00:00,08/06/16 21:00:00,2061
AmazonRDS,CreateDBInstance,USW2-RDS:StorageUsage,,08/06/16 20:00:00,08/06/16 21:00:00,107374182400
AmazonRDS,Not Applicable,USW2-C3DataTransfer-Out-Bytes,,08/06/16 20:00:00,08/06/16 21:00:00,5257553
AmazonRDS,Not Applicable,USW2-DataTransfer-In-Bytes,,08/06/16 21:00:00,08/06/16 22:00:00,836
AmazonRDS,CreateDBInstance:0002,USW2-InstanceUsage:db.t2.micro,,08/06/16 21:00:00,08/06/16 22:00:00,1
AmazonRDS,Not Applicable,USW2-USE1-AWS-Out-Bytes,,08/06/16 21:00:00,08/06/16 22:00:00,304
AmazonRDS,Not Applicable,USW2-DataTransfer-Out-Bytes,,08/06/16 21:00:00,08/06/16 22:00:00,836
