sep=;
Time;Tx;Rx
2016-12-08T15:21:20.000Z;null;null
2016-12-08T15:21:30.000Z;null;null
2016-12-08T15:21:40.000Z;null;null
2016-12-08T15:21:50.000Z;null;null
2016-12-08T15:22:00.000Z;39995.02978515625;20743.4990234375
2016-12-08T15:22:10.000Z;null;null
2016-12-08T15:22:20.000Z;null;null
2016-12-08T15:22:30.000Z;null;null
2016-12-08T15:22:40.000Z;null;null
2016-12-08T15:22:50.000Z;null;null
2016-12-08T15:23:00.000Z;43645.6923828125;21360.966796875
2016-12-08T15:23:10.000Z;null;null
2016-12-08T15:23:20.000Z;null;null
2016-12-08T15:23:30.000Z;null;null
2016-12-08T15:23:40.000Z;null;null
2016-12-08T15:23:50.000Z;null;null
2016-12-08T15:24:00.000Z;38720.49462890625;16832.88720703125
2016-12-08T15:24:10.000Z;null;null
2016-12-08T15:24:20.000Z;null;null
2016-12-08T15:24:30.000Z;null;null
2016-12-08T15:24:40.000Z;null;null
2016-12-08T15:24:50.000Z;null;null
2016-12-08T15:25:00.000Z;45050.41552734375;22718.2294921875
2016-12-08T15:25:10.000Z;null;null
2016-12-08T15:25:20.000Z;null;null
2016-12-08T15:25:30.000Z;null;null
2016-12-08T15:25:40.000Z;null;null
2016-12-08T15:25:50.000Z;null;null
2016-12-08T15:26:00.000Z;37145.9384765625;14748.7392578125
2016-12-08T15:26:10.000Z;null;null
2016-12-08T15:26:20.000Z;null;null
2016-12-08T15:26:30.000Z;null;null
2016-12-08T15:26:40.000Z;null;null
2016-12-08T15:26:50.000Z;null;null
2016-12-08T15:27:00.000Z;34537.94775390625;13914.15673828125
2016-12-08T15:27:10.000Z;null;null
2016-12-08T15:27:20.000Z;null;null
2016-12-08T15:27:30.000Z;null;null
2016-12-08T15:27:40.000Z;null;null
2016-12-08T15:27:50.000Z;null;null
2016-12-08T15:28:00.000Z;39301.34619140625;16059.521728515625
2016-12-08T15:28:10.000Z;null;null
2016-12-08T15:28:20.000Z;null;null
2016-12-08T15:28:30.000Z;null;null
2016-12-08T15:28:40.000Z;null;null
2016-12-08T15:28:50.000Z;null;null
2016-12-08T15:29:00.000Z;41223.6376953125;29123.6630859375
2016-12-08T15:29:10.000Z;null;null
2016-12-08T15:29:20.000Z;null;null
2016-12-08T15:29:30.000Z;null;null
2016-12-08T15:29:40.000Z;null;null
2016-12-08T15:29:50.000Z;null;null
2016-12-08T15:30:00.000Z;37208.2265625;14730.5009765625
2016-12-08T15:30:10.000Z;null;null
2016-12-08T15:30:20.000Z;null;null
2016-12-08T15:30:30.000Z;null;null
2016-12-08T15:30:40.000Z;null;null
2016-12-08T15:30:50.000Z;null;null
2016-12-08T15:31:00.000Z;34113.8017578125;13166.447021484375
2016-12-08T15:31:10.000Z;null;null
2016-12-08T15:31:20.000Z;null;null
2016-12-08T15:31:30.000Z;null;null
2016-12-08T15:31:40.000Z;null;null
2016-12-08T15:31:50.000Z;null;null
2016-12-08T15:32:00.000Z;38929.608642578125;15712.33056640625
2016-12-08T15:32:10.000Z;null;null
2016-12-08T15:32:20.000Z;null;null
2016-12-08T15:32:30.000Z;null;null
2016-12-08T15:32:40.000Z;null;null
2016-12-08T15:32:50.000Z;null;null
2016-12-08T15:33:00.000Z;46238.0859375;30750.2939453125
2016-12-08T15:33:10.000Z;null;null
2016-12-08T15:33:20.000Z;null;null
2016-12-08T15:33:30.000Z;null;null
2016-12-08T15:33:40.000Z;null;null
2016-12-08T15:33:50.000Z;null;null
2016-12-08T15:34:00.000Z;34098.845947265625;13238.90625
2016-12-08T15:34:10.000Z;null;null
2016-12-08T15:34:20.000Z;null;null
2016-12-08T15:34:30.000Z;null;null
2016-12-08T15:34:40.000Z;null;null
2016-12-08T15:34:50.000Z;null;null
2016-12-08T15:35:00.000Z;41479.376708984375;17034.819091796875
2016-12-08T15:35:10.000Z;null;null
2016-12-08T15:35:20.000Z;null;null
2016-12-08T15:35:30.000Z;null;null
2016-12-08T15:35:40.000Z;null;null
2016-12-08T15:35:50.000Z;null;null
2016-12-08T15:36:00.000Z;37237.23828125;14922.92138671875
2016-12-08T15:36:10.000Z;null;null
2016-12-08T15:36:20.000Z;null;null
2016-12-08T15:36:30.000Z;null;null
2016-12-08T15:36:40.000Z;null;null
2016-12-08T15:36:50.000Z;null;null
2016-12-08T15:37:00.000Z;34400.905029296875;13741.956298828125
2016-12-08T15:37:10.000Z;null;null
2016-12-08T15:37:20.000Z;null;null
2016-12-08T15:37:30.000Z;null;null
2016-12-08T15:37:40.000Z;null;null
2016-12-08T15:37:50.000Z;null;null
2016-12-08T15:38:00.000Z;34696.682373046875;13396.99755859375
2016-12-08T15:38:10.000Z;null;null
2016-12-08T15:38:20.000Z;null;null
2016-12-08T15:38:30.000Z;null;null
2016-12-08T15:38:40.000Z;null;null
2016-12-08T15:38:50.000Z;null;null
2016-12-08T15:39:00.000Z;35759.089599609375;14382.93603515625
2016-12-08T15:39:10.000Z;null;null
2016-12-08T15:39:20.000Z;null;null
2016-12-08T15:39:30.000Z;null;null
2016-12-08T15:39:40.000Z;null;null
2016-12-08T15:39:50.000Z;null;null
2016-12-08T15:40:00.000Z;73634.0703125;96322.955078125
2016-12-08T15:40:10.000Z;null;null
2016-12-08T15:40:20.000Z;null;null
2016-12-08T15:40:30.000Z;null;null
2016-12-08T15:40:40.000Z;null;null
2016-12-08T15:40:50.000Z;null;null
2016-12-08T15:41:00.000Z;73660.453125;120282.14453125
2016-12-08T15:41:10.000Z;null;null
2016-12-08T15:41:20.000Z;null;null
2016-12-08T15:41:30.000Z;null;null
2016-12-08T15:41:40.000Z;null;null
2016-12-08T15:41:50.000Z;null;null
2016-12-08T15:42:00.000Z;82744.83203125;122060.8671875
2016-12-08T15:42:10.000Z;null;null
2016-12-08T15:42:20.000Z;null;null
2016-12-08T15:42:30.000Z;null;null
2016-12-08T15:42:40.000Z;null;null
2016-12-08T15:42:50.000Z;null;null
2016-12-08T15:43:00.000Z;46198.4013671875;26441.771484375
2016-12-08T15:43:10.000Z;null;null
2016-12-08T15:43:20.000Z;null;null
2016-12-08T15:43:30.000Z;null;null
2016-12-08T15:43:40.000Z;null;null
2016-12-08T15:43:50.000Z;null;null
2016-12-08T15:44:00.000Z;42903.15087890625;27616.185546875
2016-12-08T15:44:10.000Z;null;null
2016-12-08T15:44:20.000Z;null;null
2016-12-08T15:44:30.000Z;null;null
2016-12-08T15:44:40.000Z;null;null
2016-12-08T15:44:50.000Z;null;null
2016-12-08T15:45:00.000Z;47797.9052734375;40530.9208984375
2016-12-08T15:45:10.000Z;null;null
2016-12-08T15:45:20.000Z;null;null
2016-12-08T15:45:30.000Z;null;null
2016-12-08T15:45:40.000Z;null;null
